code_experimentation,debitCO2_g,elapsedtime_s
PR06-01-23F02,0.564392,418200
PR06-01-23F02,0.551211,419520
PR06-01-23F02,0.561241,420720
PR06-01-23F02,0.563412,421920
PR06-01-23F02,0.553607,423120
PR06-01-23F02,0.548381,424380
PR06-01-23F02,0.552825,425580
PR06-01-23F02,0.545228,426780
PR06-01-23F02,0.539919,427980
PR06-01-23F02,0.549509,429180
PR06-01-23F02,0.53528,430380
PR06-01-23F02,0.540436,431580
PR06-01-23F02,0.533443,432780
PR06-01-23F02,0.528551,434040
PR06-01-23F02,0.522778,435240
PR06-01-23F02,0.530658,436500
PR06-01-23F02,0.534845,437700
PR06-01-23F02,0.528506,438900
PR06-01-23F02,0.51767,440100
PR06-01-23F02,0.524309,441300
PR06-01-23F02,0.524989,442500
PR06-01-23F02,0.51693,443700
PR06-01-23F02,0.518301,444900
PR06-01-23F02,0.499839,446100
PR06-01-23F02,0.514446,447360
PR06-01-23F02,0.317896,604260
PR06-01-23F02,0.344414,605460
PR06-01-23F02,0.367654,606720
PR06-01-23F02,0.328858,607920
PR06-01-23F02,0.307122,609120
PR06-01-23F02,0.28411,610320
PR06-01-23F02,0.291849,611520
PR06-01-23F02,0.276061,612720
PR06-01-23F02,0.275736,613980
PR06-01-23F02,0.275827,615840
PR06-01-23F02,0.26998,692700
PR06-01-23F02,0.212418,693900
PR06-01-23F02,0.227406,695160
PR06-01-23F02,0.206276,696360
PR06-01-23F02,0.1984,697560
PR06-01-23F02,0.212897,698760
PR06-01-23F02,0.214141,699960
PR06-01-23F02,0.205108,701160
PR06-01-23F02,0.200073,702360
PR06-01-23F02,0.208741,703560
PR06-01-23F02,0.205132,704760
PR06-01-23F02,0.197293,705960
PR06-01-23F02,0.197618,707160
PR06-01-23F02,0.202102,708360
PR06-01-23F02,0.197169,709560
PR06-01-23F02,0.192256,710820
PR06-01-23F02,0.19916,712020
PR06-01-23F02,0.194485,713220
PR06-01-23F02,0.191065,714420
PR06-01-23F02,0.197636,715620
PR06-01-23F02,0.189503,716820
PR06-01-23F02,0.184381,718080
PR06-01-23F02,0.196721,719280
PR06-01-23F02,0.189945,720480
PR06-01-23F02,0.188995,721680
PR06-01-23F02,0.192575,722880
PR06-01-23F02,0.191921,724080
PR06-01-23F02,0.187551,725340
PR06-01-23F02,0.185557,726540
PR06-01-23F02,0.184524,727740
PR06-01-23F02,0.182821,728940
PR06-01-23F02,0.185144,730140
PR06-01-23F02,0.183068,731340
PR06-01-23F02,0.1846,732540
PR06-01-23F02,0.178983,733740
PR06-01-23F02,0.178749,734940
PR06-01-23F02,0.184956,736140
PR06-01-23F02,0.178269,737340
PR06-01-23F02,0.181762,739140
PR06-01-23F02,0.179074,740340
PR06-01-23F02,0.17623,741540
PR06-01-23F02,0.174337,742740
PR06-01-23F02,0.175543,743940
PR06-01-23F02,0.173561,745140
